2a0d:f302:110:6517::1                    # vie01.dnscry.pt
2a0e:6901:410:25:5054:ff:fe1c:7c81       # chromium.dns.nextdns.io, dns.nextdns.io
2a0e:6902:2002:12b:5054:ff:fed7:6b78     # chromium.dns.nextdns.io, dns.nextdns.io
2a0e:97c0:38f::2                         # dns.home.daniil.it
2a0f:5707:aae1:8421::1                   # dns.internal.hosmatic.com
2a0f:b505::53                            # dns.ffnw.de
2a10:3781:50b4:1:ea40:f2ff:fee3:451d     # doh.jeroenhd.nl
2a10:3781:5578:b::111                    # dns.lermer.nl
2a10:50c0::1:ff                          # dns-unfiltered.adguard.com
2a10:50c0::2:ff                          # dns-unfiltered.adguard.com
2a10:50c0::ad1:ff                        # dns.adguard-dns.com, dns.adguard.com
2a10:50c0::ad2:ff                        # dns.adguard-dns.com, dns.adguard.com
2a10:50c0::ded:ff                        # d.adguard-dns.com
2a10:50c0::bad1:ff                       # dns-family.adguard.com
2a10:50c0::bad2:ff                       # dns-family.adguard.com
2a10:ca80::a                             # eyg01.dnscry.pt
2a11:3::66                               # au-syd.doh.sb
2a11:7980:2:110::2                       # doh.immerda.ch
2a11:a380::195:38:160:7                  # dns.cctld.kg
2a12:9080:1:5b::a                        # blackhole.myon.lu
2a12:9080:6:7::a                         # adg.tshost.no
2a12:e342:300::daca:63ea                 # ist01.dnscry.pt
2a13:1001::86:54:11:11                   # child-noads.joindns4.eu
2a13:1001::86:54:11:12                   # child.joindns4.eu
2a13:1001::86:54:11:100                  # unfiltered.joindns4.eu
2a13:1001::86:54:11:200                  # unfiltered.joindns4.eu
2a13:1001::86:54:11:211                  # child-noads.joindns4.eu
2a13:1001::86:54:11:212                  # child.joindns4.eu
2a13:4ac0:10:0:f816:3eff:fe13:765e       # rockwell.website
2a13:9401:0:1::3d58:1                    # vno01.dnscry.pt
2a14:7581:4856:1::1                      # dns.caliph.dev
2a14:7581:4940::fa:f117:111a             # dns.bebasid.com
2c0f:f530::d00:188                       # jnb01.dnscry.pt
