2003:f8:97ff:284e:f2b0:14ff:feb5:d1f4    # ueni.dyndns.org
2400:3200::1                             # dns.alidns.com
2400:3200:baba::1                        # dns.alidns.com
2400:6180:0:d0::f7:1001                  # sg-dns1.bancuh.com
2400:8902::f03c:91ff:feda:c514           # jp.tiar.app
2400:8902::f03c:92ff:fe3e:46cd           # jp-dns1.bancuh.com
2400:8902::f03c:92ff:fe80:38b7           # dns.kuuhaku.moe
2400:8902::f03c:93ff:feb8:2f31           # dns.wang.art
2400:8902::f03c:95ff:fe59:27bc           # dns.nodoa.me
2400:8904::f03c:92ff:fe29:cb19           # dns.therifleman.name
2400:d321:2191:8363::1                   # dns.albony.xyz
2401:8360:a2:4::a                        # lon01.dnscry.pt
2402:1f00:8000:800::794                  # adblock.krctech.dev
2402:4e00:c050:2800:e4e:cf0e:740c:1      # dns.beardic.cn
2402:7340:5000:6200::a                   # syd02.dnscry.pt
2402:d0c0:16:a1e6:0:b893:bf7:dd          # pdx01.dnscry.pt
2402:f000:1:416:101:6:6:6                # dns.tuna.tsinghua.edu.cn
2403:3a00:101:21:49:212:235:44           # dns.butterfly87.sbs, dns.f97.xyz, dns.lsho.top, lifeisa.live
2403:3a00:107:29:133:167:212:21          # adfiltro.fun, alleesph.online, dns.futuredns.me, dns.lightmaster.pw
2403:3a00:107:29:133:167:212:22          # 3jjxxl.tech, callies-online.site, cloudbenders.fun, d2.shabi.icu, qqmcfw.tech
2403:3a00:107:29:133:167:212:25          # 3dcosas.xyz, affcdn.net, bestwon203.com, dns.guardmydns.com
2403:3a00:201:17:112:78:125:221          # himedns.com, sg.yepdns.com
2403:3a00:201:1c:49:212:198:36           # adguard.kantinyoyok.xyz, axaxa.fun, dns.kugoapps.com
2403:3a00:201:1c:49:212:198:51           # catchen121299.top, dns.daarrk.tech, las-vegas.privacy-dns.pw, maqgie.xyz
2403:3a00:201:1c:49:212:198:52           # adguard.londonwebnerd.cloud, atris.cyou, cynntex.fun, deep-henchman-excuse.cfd, dns.cybertonic.tech, hfgx.shop
2403:3a00:201:1c:49:212:198:71           # timedns.net
2403:3a00:201:1c:49:212:198:89           # dns.aaytorr.com, dns.comeonjames.club
2403:3a00:201:1e:49:212:207:51           # adg.yybyy.wiki, ag.brianlee.fun
2403:cfc0:1004::1924:b4ef                # tpe01.dnscry.pt
2404:2280:187:0:3::445                   # dns.ikataruto.com
2404:2280:1b4:0:3::19                    # dns.ikataruto.com
2404:2280:1b4:0:3::3c                    # dns.ikataruto.com
2404:2280:1ba:0:3::64                    # dns.ikataruto.com
2404:9400:1:0:216:3eff:fef6:7194         # bne01.dnscry.pt
2404:9400:214e:ea00::1                   # syd.adfilter.net
2404:9400:6903:2100::1                   # adl.adfilter.net
2407:0:3006:3d87:fa5e:3cff:fe46:e019     # gustamadh.dynv6.net
2407:24c0:2::154:3                       # dns.gi.co.id
2407:3640:2238:5447::1                   # asia.tri-dns.net
240d:c000:f000:9300:ad0:a594:4272:0      # cloud.198.games
240d:c000:f000:9500:8234:d91e:8082:0     # blog.kimiblock.top
240d:c000:f000:9500:8234:d91e:8082:1     # blog.kimiblock.top
240d:c000:f000:ea00:70d8:5996:f8e4:0     # dns.flymc.cc
240d:c010:75:1::119                      # dns.233py.com
240e:e1:a800:125::1e                     # dns.weixin.qq.com.cn
240e:e1:aa00:4003::31                    # dns.weixin.qq.com.cn
240e:904:3401:1001::e                    # dns.weixin.qq.com.cn
240e:904:3401:1003::32                   # dns.weixin.qq.com.cn
240e:928:1400:1000::3                    # dns.weixin.qq.com.cn
240e:928:1400:1003::23                   # dns.weixin.qq.com.cn
240e:97c:2f:200f::f6                     # dns.weixin.qq.com.cn
240e:97c:2f:3053::4f                     # dns.weixin.qq.com.cn
2600:1702:74fc:809f::157                 # dns.sarak.as, dns.sarakas.net
2600:1702:74fc:809f::158                 # dns.sarak.as, dns.sarakas.net
2600:3c00:e000:37a::8:0                  # dns.mzjtechnology.com
2600:3c01:e000:130::8:0                  # dns.elemental.software
2600:3c01:e000:3e2::8:0                  # dns.falkenthal.org
2600:3c01:e000:446::8:0                  # dns.efficientdocuments.com
2600:3c01:e000:7e5::1                    # dns.csswg.org
2600:3c03:e000:2b5::8:0                  # dns.fizz.studio
2600:3c06::2000:53ff:fe9a:7714           # doh.archuser.org
2600:3c07:e001:b5::8:0                   # dns.w3ctag.org
2600:3c0e::f03c:94ff:fe7b:c719           # dns.pccoach.nl
2600:4c00:80:8::a                        # atl01.dnscry.pt
2602:f7f8:2:c::a                         # nyc01.dnscry.pt
2602:f992:e0:c0::2                       # dns.marbledfennec.net
2602:f992:ec:1::2                        # dns.marbledfennec.net
2602:fa67:101:1d::a                      # hkg02.dnscry.pt
2602:fb94:1:39::a                        # dfw02.dnscry.pt
2602:fc24:19:74b0:5285::12               # abe01.dnscry.pt
